palabra;ocurrencia;noqueja;queja
tarea;1;0.00591716;0.017751479
dindon;0;0.98816568;0.99408284
dindon;1;0.01183432;0.00591716
donar;0;0.982248521;0.99408284
donar;1;0.017751479;0.00591716
ninguno;0;0.98816568;0.98816568
ninguno;1;0.01183432;0.01183432
campo;0;0.99408284;0.982248521
campo;1;0.00591716;0.017751479
colocacion;0;0.982248521;0.99408284
colocacion;1;0.017751479;0.00591716
impulsar;0;0.982248521;0.99408284
impulsar;1;0.017751479;0.00591716
led;0;0.982248521;0.99408284
led;1;0.017751479;0.00591716
luminaria;0;0.982248521;0.99408284
luminaria;1;0.017751479;0.00591716
permitir;0;0.982248521;0.99408284
permitir;1;0.017751479;0.00591716
metro;0;0.99408284;0.98816568
metro;1;0.00591716;0.01183432
cerrar;0;0.99408284;0.98816568
cerrar;1;0.00591716;0.01183432
odio;0;0.99408284;0.98816568
odio;1;0.00591716;0.01183432
persona;0;0.99408284;0.99408284
persona;1;0.00591716;0.00591716
avda;0;0.99408284;0.99408284
avda;1;0.00591716;0.00591716
cazar;0;0.98816568;0.98816568
cazar;1;0.01183432;0.01183432
lol;0;0.98816568;0.98816568
lol;1;0.01183432;0.01183432
subir;0;0.98816568;0.98816568
subir;1;0.01183432;0.01183432
catedral;0;0.99408284;0.98816568
catedral;1;0.00591716;0.01183432
miercoles;0;0.982248521;0.99408284
miercoles;1;0.017751479;0.00591716
entonces;0;0.982248521;0.99408284
entonces;1;0.017751479;0.00591716
cuenta;0;0.98816568;0.98816568
cuenta;1;0.01183432;0.01183432
sumidero;0;0.99408284;0.98816568
sumidero;1;0.00591716;0.01183432
terminar;0;0.99408284;0.982248521
terminar;1;0.00591716;0.017751479
usar;0;0.98816568;0.982248521
usar;1;0.01183432;0.017751479
forma;0;0.98816568;0.99408284
forma;1;0.01183432;0.00591716
gato;0;0.99408284;0.982248521
gato;1;0.00591716;0.017751479
paloma;0;0.99408284;0.98816568
paloma;1;0.00591716;0.01183432
avisar;0;0.99408284;0.98816568
avisar;1;0.00591716;0.01183432
casi;0;0.982248521;0.98816568
casi;1;0.017751479;0.01183432
primero;0;0.98816568;0.98816568
primero;1;0.01183432;0.01183432
sonar;0;0.98816568;0.99408284
sonar;1;0.01183432;0.00591716
tun;0;0.99408284;0.99408284
tun;1;0.00591716;0.00591716
google;0;0.98816568;0.99408284
google;1;0.01183432;0.00591716
bilbao;0;0.99408284;0.99408284
bilbao;1;0.00591716;0.00591716
leioa;0;0.99408284;0.98816568
leioa;1;0.00591716;0.01183432
domingo;0;0.98816568;0.98816568
domingo;1;0.01183432;0.01183432
detener;0;0.99408284;0.982248521
detener;1;0.00591716;0.017751479
altura;0;0.99408284;0.98816568
altura;1;0.00591716;0.01183432
tirado;0;0.98816568;0.98816568
tirado;1;0.01183432;0.01183432
flandes;0;0.99408284;0.982248521
flandes;1;0.00591716;0.017751479
tardar;0;0.99408284;0.982248521
tardar;1;0.00591716;0.017751479
accidentar;0;0.98816568;0.982248521
accidentar;1;0.01183432;0.017751479
dgtaraba;0;0.99408284;0.98816568
dgtaraba;1;0.00591716;0.01183432
nivel;0;0.99408284;0.98816568
nivel;1;0.00591716;0.01183432
rojo;0;0.99408284;0.98816568
rojo;1;0.00591716;0.01183432
sangre;0;0.98816568;0.98816568
sangre;1;0.01183432;0.01183432
olvidar;0;0.99408284;0.98816568
olvidar;1;0.00591716;0.01183432
poesia;0;0.98816568;0.99408284
poesia;1;0.01183432;0.00591716
invento;0;0.98816568;0.99408284
invento;1;0.01183432;0.00591716
