palabra;ocurrencia;administracion;delincuencia;espaciopublico;limpieza;movilidad
detener;1;0.0454545454545455;0.115384615384615;0.04;0.0232558139534884;0.0166666666666667
joven;0;0.954545454545455;0.846153846153846;0.96;0.976744186046512;0.983333333333333
joven;1;0.0454545454545455;0.153846153846154;0.04;0.0232558139534884;0.0166666666666667
menor;0;0.954545454545455;0.846153846153846;0.96;0.976744186046512;0.983333333333333
menor;1;0.0454545454545455;0.153846153846154;0.04;0.0232558139534884;0.0166666666666667
izquierdo;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.933333333333333
izquierdo;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.0666666666666667
detenido;0;0.954545454545455;0.884615384615385;0.96;0.976744186046512;0.983333333333333
detenido;1;0.0454545454545455;0.115384615384615;0.04;0.0232558139534884;0.0166666666666667
panadería;0;0.954545454545455;0.884615384615385;0.96;0.976744186046512;0.983333333333333
panadería;1;0.0454545454545455;0.115384615384615;0.04;0.0232558139534884;0.0166666666666667
robar;0;0.954545454545455;0.807692307692308;0.96;0.976744186046512;0.983333333333333
robar;1;0.0454545454545455;0.192307692307692;0.04;0.0232558139534884;0.0166666666666667
empresa;0;0.954545454545455;0.923076923076923;0.96;0.906976744186046;0.983333333333333
empresa;1;0.0454545454545455;0.0769230769230769;0.04;0.0930232558139535;0.0166666666666667
cepo;0;0.954545454545455;0.846153846153846;0.96;0.976744186046512;0.983333333333333
cepo;1;0.0454545454545455;0.153846153846154;0.04;0.0232558139534884;0.0166666666666667
elorriaga;0;0.954545454545455;0.884615384615385;0.96;0.976744186046512;0.983333333333333
elorriaga;1;0.0454545454545455;0.115384615384615;0.04;0.0232558139534884;0.0166666666666667
huerta;0;0.954545454545455;0.884615384615385;0.96;0.976744186046512;0.983333333333333
huerta;1;0.0454545454545455;0.115384615384615;0.04;0.0232558139534884;0.0166666666666667
ilegal;0;0.954545454545455;0.846153846153846;0.96;0.976744186046512;0.983333333333333
ilegal;1;0.0454545454545455;0.153846153846154;0.04;0.0232558139534884;0.0166666666666667
instalar;0;0.909090909090909;0.884615384615385;0.96;0.976744186046512;0.983333333333333
instalar;1;0.0909090909090909;0.115384615384615;0.04;0.0232558139534884;0.0166666666666667
morir;0;0.954545454545455;0.884615384615385;0.96;0.976744186046512;0.983333333333333
morir;1;0.0454545454545455;0.115384615384615;0.04;0.0232558139534884;0.0166666666666667
zorro;0;0.954545454545455;0.846153846153846;0.96;0.976744186046512;0.983333333333333
zorro;1;0.0454545454545455;0.153846153846154;0.04;0.0232558139534884;0.0166666666666667
homicidio;0;0.954545454545455;0.884615384615385;0.96;0.976744186046512;0.983333333333333
homicidio;1;0.0454545454545455;0.115384615384615;0.04;0.0232558139534884;0.0166666666666667
intento;0;0.954545454545455;0.884615384615385;0.96;0.976744186046512;0.983333333333333
intento;1;0.0454545454545455;0.115384615384615;0.04;0.0232558139534884;0.0166666666666667
sentido;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.983333333333333
sentido;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.0166666666666667
año;0;0.954545454545455;0.961538461538462;0.92;0.976744186046512;0.966666666666667
año;1;0.0454545454545455;0.0384615384615385;0.08;0.0232558139534884;0.0333333333333333
colocar;0;0.954545454545455;0.961538461538462;0.92;0.953488372093023;0.983333333333333
colocar;1;0.0454545454545455;0.0384615384615385;0.08;0.0465116279069767;0.0166666666666667
mismo;0;0.954545454545455;0.961538461538462;0.92;0.953488372093023;0.983333333333333
mismo;1;0.0454545454545455;0.0384615384615385;0.08;0.0465116279069767;0.0166666666666667
cantidad;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.95
cantidad;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.05
callar;0;0.954545454545455;0.961538461538462;0.92;0.953488372093023;0.983333333333333
callar;1;0.0454545454545455;0.0384615384615385;0.08;0.0465116279069767;0.0166666666666667
existir;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.966666666666667
existir;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.0333333333333333
atropellar;0;0.954545454545455;0.961538461538462;0.92;0.976744186046512;0.966666666666667
atropellar;1;0.0454545454545455;0.0384615384615385;0.08;0.0232558139534884;0.0333333333333333
gato;0;0.954545454545455;0.923076923076923;0.92;0.976744186046512;0.983333333333333
gato;1;0.0454545454545455;0.0769230769230769;0.08;0.0232558139534884;0.0166666666666667
basura;0;0.954545454545455;0.961538461538462;0.96;0.86046511627907;0.983333333333333
basura;1;0.0454545454545455;0.0384615384615385;0.04;0.13953488372093;0.0166666666666667
rata;0;0.954545454545455;0.961538461538462;0.96;0.930232558139535;0.983333333333333
rata;1;0.0454545454545455;0.0384615384615385;0.04;0.0697674418604651;0.0166666666666667
concejal;0;0.954545454545455;0.961538461538462;0.96;0.953488372093023;0.983333333333333
concejal;1;0.0454545454545455;0.0384615384615385;0.04;0.0465116279069767;0.0166666666666667
número;0;0.909090909090909;0.961538461538462;0.96;0.953488372093023;0.966666666666667
número;1;0.0909090909090909;0.0384615384615385;0.04;0.0465116279069767;0.0333333333333333
asco;0;0.954545454545455;0.961538461538462;0.96;0.953488372093023;0.983333333333333
asco;1;0.0454545454545455;0.0384615384615385;0.04;0.0465116279069767;0.0166666666666667
encontrar;0;0.954545454545455;0.961538461538462;0.88;0.976744186046512;0.983333333333333
encontrar;1;0.0454545454545455;0.0384615384615385;0.12;0.0232558139534884;0.0166666666666667
resto;0;0.863636363636364;0.961538461538462;0.96;0.953488372093023;0.983333333333333
resto;1;0.136363636363636;0.0384615384615385;0.04;0.0465116279069767;0.0166666666666667
ayuda;0;0.954545454545455;0.923076923076923;0.96;0.976744186046512;0.966666666666667
ayuda;1;0.0454545454545455;0.0769230769230769;0.04;0.0232558139534884;0.0333333333333333
pedir;0;0.954545454545455;0.961538461538462;0.96;0.930232558139535;0.966666666666667
pedir;1;0.0454545454545455;0.0384615384615385;0.04;0.0697674418604651;0.0333333333333333
florido;0;0.954545454545455;0.961538461538462;0.96;0.953488372093023;0.95
florido;1;0.0454545454545455;0.0384615384615385;0.04;0.0465116279069767;0.05
falta;0;0.954545454545455;0.961538461538462;0.92;0.930232558139535;0.983333333333333
falta;1;0.0454545454545455;0.0384615384615385;0.08;0.0697674418604651;0.0166666666666667
ambiente;0;0.909090909090909;0.961538461538462;0.92;0.953488372093023;0.983333333333333
ambiente;1;0.0909090909090909;0.0384615384615385;0.08;0.0465116279069767;0.0166666666666667
bueno;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.95
bueno;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.05
flandes;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.95
flandes;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.05
llevar;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.95
llevar;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.05
tardar;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.95
tardar;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.05
vecino;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.95
vecino;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.05
parada;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.95
parada;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.05
salir;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.95
salir;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.05
cliente;0;0.954545454545455;0.923076923076923;0.96;0.976744186046512;0.966666666666667
cliente;1;0.0454545454545455;0.0769230769230769;0.04;0.0232558139534884;0.0333333333333333
vez;0;0.954545454545455;0.923076923076923;0.92;0.976744186046512;0.966666666666667
vez;1;0.0454545454545455;0.0769230769230769;0.08;0.0232558139534884;0.0333333333333333
evitar;0;0.954545454545455;0.961538461538462;0.96;0.953488372093023;0.983333333333333
evitar;1;0.0454545454545455;0.0384615384615385;0.04;0.0465116279069767;0.0166666666666667
estación;0;0.954545454545455;0.961538461538462;0.92;0.976744186046512;0.983333333333333
estación;1;0.0454545454545455;0.0384615384615385;0.08;0.0232558139534884;0.0166666666666667
vehículo;0;0.954545454545455;0.923076923076923;0.96;0.976744186046512;0.966666666666667
